session_id,student_id,joined_at,left_at,engagement_level
Session_1,S001,2024-01-13 13:02:00,2024-01-13 14:01:00,medium
Session_1,S003,2024-01-13 13:02:00,2024-01-13 13:38:00,medium
Session_1,S004,2024-01-13 13:09:00,2024-01-13 13:39:00,medium
Session_1,S005,2024-01-13 13:08:00,2024-01-13 14:04:00,high
Session_1,S006,2024-01-13 13:00:00,2024-01-13 14:18:00,high
Session_1,S007,2024-01-13 13:08:00,2024-01-13 14:32:00,high
Session_1,S009,2024-01-13 13:04:00,2024-01-13 13:45:00,medium
Session_1,S010,2024-01-13 13:09:00,2024-01-13 13:44:00,medium
Session_1,S011,2024-01-13 13:04:00,2024-01-13 14:18:00,high
Session_1,S014,2024-01-13 13:04:00,2024-01-13 14:27:00,high
Session_1,S015,2024-01-13 13:04:00,2024-01-13 13:49:00,high
Session_1,S016,2024-01-13 13:03:00,2024-01-13 13:53:00,high
Session_1,S017,2024-01-13 13:07:00,2024-01-13 13:31:00,medium
Session_1,S022,2024-01-13 13:03:00,2024-01-13 14:11:00,high
Session_1,S023,2024-01-13 13:00:00,2024-01-13 14:17:00,high
Session_1,S027,2024-01-13 13:01:00,2024-01-13 14:20:00,high
Session_1,S029,2024-01-13 13:09:00,2024-01-13 13:54:00,medium
Session_1,S030,2024-01-13 13:06:00,2024-01-13 13:54:00,high
Session_1,S031,2024-01-13 13:07:00,2024-01-13 14:02:00,medium
Session_1,S033,2024-01-13 13:04:00,2024-01-13 13:57:00,high
Session_1,S036,2024-01-13 13:00:00,2024-01-13 13:11:00,low
Session_1,S038,2024-01-13 13:00:00,2024-01-13 13:57:00,high
Session_1,S039,2024-01-13 13:00:00,2024-01-13 13:39:00,medium
Session_1,S040,2024-01-13 13:02:00,2024-01-13 13:38:00,medium
Session_1,S041,2024-01-13 13:06:00,2024-01-13 14:18:00,high
Session_1,S043,2024-01-13 13:04:00,2024-01-13 13:53:00,high
Session_1,S045,2024-01-13 13:03:00,2024-01-13 14:10:00,high
Session_1,S046,2024-01-13 13:04:00,2024-01-13 14:02:00,medium
Session_1,S047,2024-01-13 13:02:00,2024-01-13 13:44:00,medium
Session_1,S050,2024-01-13 13:09:00,2024-01-13 14:37:00,high
Session_1,S052,2024-01-13 13:07:00,2024-01-13 13:35:00,medium
Session_1,S054,2024-01-13 13:04:00,2024-01-13 13:14:00,low
Session_1,S055,2024-01-13 13:00:00,2024-01-13 13:41:00,medium
Session_1,S058,2024-01-13 13:05:00,2024-01-13 14:20:00,high
Session_1,S059,2024-01-13 13:06:00,2024-01-13 14:17:00,high
Session_1,S060,2024-01-13 13:02:00,2024-01-13 13:34:00,medium
Session_1,S061,2024-01-13 13:03:00,2024-01-13 13:50:00,medium
Session_1,S062,2024-01-13 13:06:00,2024-01-13 13:51:00,high
Session_1,S063,2024-01-13 13:08:00,2024-01-13 13:18:00,low
Session_1,S064,2024-01-13 13:09:00,2024-01-13 14:00:00,medium
Session_1,S065,2024-01-13 13:05:00,2024-01-13 14:10:00,high
Session_1,S066,2024-01-13 13:02:00,2024-01-13 13:40:00,medium
Session_1,S067,2024-01-13 13:08:00,2024-01-13 14:06:00,high
Session_1,S069,2024-01-13 13:02:00,2024-01-13 14:02:00,high
Session_1,S072,2024-01-13 13:05:00,2024-01-13 14:01:00,high
Session_1,S073,2024-01-13 13:09:00,2024-01-13 13:04:00,high
Session_1,S075,2024-01-13 13:04:00,2024-01-13 13:59:00,medium
Session_1,S077,2024-01-13 13:00:00,2024-01-13 13:39:00,medium
Session_1,S078,2024-01-13 13:02:00,2024-01-13 13:52:00,high
Session_1,S080,2024-01-13 13:01:00,2024-01-13 13:55:00,high
Session_1,S082,2024-01-13 13:06:00,2024-01-13 13:58:00,medium
Session_1,S083,2024-01-13 13:00:00,2024-01-13 13:30:00,medium
Session_1,S084,2024-01-13 13:05:00,2024-01-13 14:16:00,high
Session_1,S085,2024-01-13 13:08:00,2024-01-13 14:02:00,medium
Session_1,S086,2024-01-13 13:06:00,2024-01-13 13:31:00,medium
Session_1,S087,2024-01-13 13:04:00,2024-01-13 14:01:00,medium
Session_1,S088,2024-01-13 13:04:00,2024-01-13 14:00:00,medium
Session_1,S090,2024-01-13 13:08:00,2024-01-13 13:28:00,medium
Session_1,S091,2024-01-13 13:00:00,2024-01-13 14:24:00,high
Session_1,S092,2024-01-13 13:07:00,2024-01-13 14:05:00,medium
Session_1,S093,2024-01-13 13:05:00,2024-01-13 13:27:00,medium
Session_1,S095,2024-01-13 13:04:00,2024-01-13 13:53:00,medium
Session_1,S096,2024-01-13 13:06:00,2024-01-13 13:40:00,medium
Session_1,S100,2024-01-13 13:01:00,2024-01-13 14:23:00,high
Session_1,S101,2024-01-13 13:02:00,2024-01-13 14:20:00,high
Session_1,S102,2024-01-13 13:07:00,2024-01-13 13:41:00,medium
Session_1,S106,2024-01-13 13:07:00,2024-01-13 14:08:00,high
Session_1,S107,2024-01-13 13:07:00,2024-01-13 13:31:00,medium
Session_1,S108,2024-01-13 13:02:00,2024-01-13 13:44:00,medium
Session_1,S109,2024-01-13 13:05:00,2024-01-13 14:05:00,high
Session_1,S110,2024-01-13 13:07:00,2024-01-13 14:16:00,high
Session_1,S111,2024-01-13 13:01:00,2024-01-13 14:04:00,high
Session_1,S112,2024-01-13 13:09:00,2024-01-13 13:31:00,high
Session_1,S114,2024-01-13 13:01:00,2024-01-13 13:22:00,low
